"CP ITEM_NO","DIMENSIONS","QTY AVAIL"
"HO2026","PINK/PURPLE/L/*",2
"HO2026","PINK/PURPLE/M/*",4
"HO2026","PINK/PURPLE/S/*",3
"HO2026","PINK/PURPLE/XL/*",2
"HO2026","PINK/PURPLE/XS/*",1
"HO2027","BLK/FLASH/CHEST 28-32 IN/*",8
"HO2028","BLK/BLU/YELL/SM 50-75 LBS/*",18
"HO2028","BLK/ORANGE/LG 65-90 LBS/*",18
"HO2029","FLURO YELLOW/30-50 LBS/*",12
"HO2030","FLURO YELLOW/0-30 LBS/*",12
"HO2031","BLK/PINK/SM 50-75 LBS/*",15
"HO2031","BLK/TEAL/LG 65-90 LBS/*",15
"HO2032","PINK/TEAL/30-50 LBS/*",12
"HO2033","PINK/TEAL/0-30 LBS/*",12
"HO2034","BLK/RED/2X/*",4
"HO2034","BLK/RED/3X/*",3
"HO2034","BLK/RED/4X/*",2
"HO2034","BLK/RED/5X/*",1
"HO2034","BLK/RED/L/*",8
"HO2034","BLK/RED/M/*",6
"HO2034","BLK/RED/S/*",5
"HO2034","BLK/RED/XL/*",6
"HO2034","BLK/RED/XS/*",3
"HO2035","NAVY/L/*",1
"ARB0008","156/*/*",1
"ARB0008","158/*/*",1
"ARB0008","162/*/*",1
"ARB0009","152/*/*",2
"ARB0009","155/*/*",2
"ARB0010","144/*/*",1
"ARB0010","148/*/*",1
"ARB0011","155/*/*",1
"ARB0012","153/*/*",1
"ARB0012","155/*/*",1
"ARB0013","154 MW/*/*",1
"ARB0013","157 MW/*/*",1
"BAUCT001","NATURAL/*/*",39
"BBR018","210/*/*",2
"BBR018","240/*/*",4
"BBR022","210/GREEN/*",1
"BBR022","220/GREEN/*",1
"BBR025","70-80/BLUE/*",2
"BBR026","ORANGE/220/*",1
"BBR027","210/*/*",1
"BBR027","220/*/*",1
"BBR027","230/*/*",1
"BIL2200","WHITE/XXL/*",1
"BIL2201","SEAFOAM/S/*",1
"BIL2203","HYDRO/L/*",2
"BIL2203","HYDRO/M/*",1
"C3W0052","YELLOW/*/*",1
"DAK1226","BLACK/XS/*",2
"DAK1227","CARBON/K-M/*",1
"DAK1227","ZION/K-M/*",1
"DAK1228","KIKI/K-S/*",1
"DAK1228","KIKI/K-XL./*",2
"DAK1228","PORTO/K-M/*",1
"DAK1229","BLACK/K-L/*",2
"DAK1229","BLACK/K-M/*",2
"DAK1229","BLACK/K-S/*",1
"DAK1229","BLACK/K-XL/*",2
"DAK1229","PURPLE STORM/K-L/*",2
"DAK1229","PURPLE STORM/K-S/*",1
"DAK1229","PURPLE STORM/K-XL/*",1
"DAK1230","CARBON/XL/*",1
"DAK1230","ZION/L/*",1
"DAK1230","ZION/S/*",1
"DAK1230","ZION/XL/*",1
"DAK1231","KIKI/K-L/*",2
"DAK1231","KIKI/K-XL/*",2
"DAK1231","PORTO/K-L/*",2
"DAK1231","PORTO/K-M/*",2
"DAK1231","PORTO/K-XL/*",1
"DAK1232","DIAMONDS/TD-L/*",2
"DAK1232","DIAMONDS/TD-M/*",3
"DAK1232","DIAMONDS/TD-S/*",2
"DAK1232","MONSTERS/TD-L/*",1
"DAK1232","MONSTERS/TD-M/*",2
"DAK1232","MONSTERS/TD-S/*",1
"DAK1233","BLACK/L/*",2
"DAK1233","BLACK/M/*",1
"DAK1233","BLACK/S/*",1
"DAK1233","BLACK/XS/*",3
"DAK1234","WHITE/ADJ/*",3
"DAK1235","BLACK/175CM/*",3
"DAK1235","SCOUT/175CM/*",1
"DAK1236","BLACK/157CM/*",2
"DAK1236","BLACK/165CM/*",1
"DAK1236","BLACK/175CM/*",1
"DAK1236","SCOUT/165CM/*",1
"DAK1236","SILVERTON ONYX/157CM/*",1
"DAK1237","FIELD CAMO/157CM/*",1
"DAK1238","SCOUT/175CM/*",2
